,count,distance,region,service,group,time,colors,bins
0,0,0.0,Porirua CBD,EM_hubs,population,0,#79D151,0-2
1,2337,2.0,Porirua CBD,EM_hubs,population,0,#22A784,2-4
2,0,4.0,Porirua CBD,EM_hubs,population,0,#29788E,4-6
3,0,6.0,Porirua CBD,EM_hubs,population,0,#404387,6-8
4,0,8.0,Porirua CBD,EM_hubs,population,0,#440154,8+
5,0,,Porirua CBD,EM_hubs,population,0,black,isolated
0,5847,0.0,Petone,EM_hubs,population,0,#79D151,0-2
1,0,2.0,Petone,EM_hubs,population,0,#22A784,2-4
2,0,4.0,Petone,EM_hubs,population,0,#29788E,4-6
3,0,6.0,Petone,EM_hubs,population,0,#404387,6-8
4,0,8.0,Petone,EM_hubs,population,0,#440154,8+
5,0,,Petone,EM_hubs,population,0,black,isolated
0,44340,0.0,Lower Hutt,EM_hubs,population,0,#79D151,0-2
1,267,2.0,Lower Hutt,EM_hubs,population,0,#22A784,2-4
2,0,4.0,Lower Hutt,EM_hubs,population,0,#29788E,4-6
3,0,6.0,Lower Hutt,EM_hubs,population,0,#404387,6-8
4,0,8.0,Lower Hutt,EM_hubs,population,0,#440154,8+
5,0,,Lower Hutt,EM_hubs,population,0,black,isolated
0,5700,0.0,Western Hutt Hills,EM_hubs,population,0,#79D151,0-2
1,723,2.0,Western Hutt Hills,EM_hubs,population,0,#22A784,2-4
2,0,4.0,Western Hutt Hills,EM_hubs,population,0,#29788E,4-6
3,0,6.0,Western Hutt Hills,EM_hubs,population,0,#404387,6-8
4,0,8.0,Western Hutt Hills,EM_hubs,population,0,#440154,8+
5,0,,Western Hutt Hills,EM_hubs,population,0,black,isolated
0,17247,0.0,Karori,EM_hubs,population,0,#79D151,0-2
1,459,2.0,Karori,EM_hubs,population,0,#22A784,2-4
2,0,4.0,Karori,EM_hubs,population,0,#29788E,4-6
3,0,6.0,Karori,EM_hubs,population,0,#404387,6-8
4,0,8.0,Karori,EM_hubs,population,0,#440154,8+
5,0,,Karori,EM_hubs,population,0,black,isolated
0,28830,0.0,Johnsonville,EM_hubs,population,0,#79D151,0-2
1,1860,2.0,Johnsonville,EM_hubs,population,0,#22A784,2-4
2,0,4.0,Johnsonville,EM_hubs,population,0,#29788E,4-6
3,0,6.0,Johnsonville,EM_hubs,population,0,#404387,6-8
4,0,8.0,Johnsonville,EM_hubs,population,0,#440154,8+
5,0,,Johnsonville,EM_hubs,population,0,black,isolated
0,35937,0.0,Newtown,EM_hubs,population,0,#79D151,0-2
1,2676,2.0,Newtown,EM_hubs,population,0,#22A784,2-4
2,0,4.0,Newtown,EM_hubs,population,0,#29788E,4-6
3,0,6.0,Newtown,EM_hubs,population,0,#404387,6-8
4,0,8.0,Newtown,EM_hubs,population,0,#440154,8+
5,0,,Newtown,EM_hubs,population,0,black,isolated
0,7671,0.0,Stokes Valley,EM_hubs,population,0,#79D151,0-2
1,945,2.0,Stokes Valley,EM_hubs,population,0,#22A784,2-4
2,0,4.0,Stokes Valley,EM_hubs,population,0,#29788E,4-6
3,0,6.0,Stokes Valley,EM_hubs,population,0,#404387,6-8
4,0,8.0,Stokes Valley,EM_hubs,population,0,#440154,8+
5,0,,Stokes Valley,EM_hubs,population,0,black,isolated
0,1110,0.0,Eastbourne,EM_hubs,population,0,#79D151,0-2
1,198,2.0,Eastbourne,EM_hubs,population,0,#22A784,2-4
2,0,4.0,Eastbourne,EM_hubs,population,0,#29788E,4-6
3,0,6.0,Eastbourne,EM_hubs,population,0,#404387,6-8
4,0,8.0,Eastbourne,EM_hubs,population,0,#440154,8+
5,0,,Eastbourne,EM_hubs,population,0,black,isolated
0,11316,0.0,Tawa,EM_hubs,population,0,#79D151,0-2
1,0,2.0,Tawa,EM_hubs,population,0,#22A784,2-4
2,0,4.0,Tawa,EM_hubs,population,0,#29788E,4-6
3,90,6.0,Tawa,EM_hubs,population,0,#404387,6-8
4,0,8.0,Tawa,EM_hubs,population,0,#440154,8+
5,0,,Tawa,EM_hubs,population,0,black,isolated
0,18090,0.0,Wellington Western Suburbs,EM_hubs,population,0,#79D151,0-2
1,669,2.0,Wellington Western Suburbs,EM_hubs,population,0,#22A784,2-4
2,0,4.0,Wellington Western Suburbs,EM_hubs,population,0,#29788E,4-6
3,0,6.0,Wellington Western Suburbs,EM_hubs,population,0,#404387,6-8
4,0,8.0,Wellington Western Suburbs,EM_hubs,population,0,#440154,8+
5,0,,Wellington Western Suburbs,EM_hubs,population,0,black,isolated
0,7566,0.0,Wellington Southern Suburbs,EM_hubs,population,0,#79D151,0-2
1,1827,2.0,Wellington Southern Suburbs,EM_hubs,population,0,#22A784,2-4
2,198,4.0,Wellington Southern Suburbs,EM_hubs,population,0,#29788E,4-6
3,0,6.0,Wellington Southern Suburbs,EM_hubs,population,0,#404387,6-8
4,0,8.0,Wellington Southern Suburbs,EM_hubs,population,0,#440154,8+
5,0,,Wellington Southern Suburbs,EM_hubs,population,0,black,isolated
0,138,0.0,Wellington Airport,EM_hubs,population,0,#79D151,0-2
1,0,2.0,Wellington Airport,EM_hubs,population,0,#22A784,2-4
2,0,4.0,Wellington Airport,EM_hubs,population,0,#29788E,4-6
3,0,6.0,Wellington Airport,EM_hubs,population,0,#404387,6-8
4,0,8.0,Wellington Airport,EM_hubs,population,0,#440154,8+
5,0,,Wellington Airport,EM_hubs,population,0,black,isolated
0,263715,0.0,All,supermarket,population,0,#79D151,0-2
1,83229,2.0,All,supermarket,population,0,#22A784,2-4
2,10098,4.0,All,supermarket,population,0,#29788E,4-6
3,13002,6.0,All,supermarket,population,0,#404387,6-8
4,13800,8.0,All,supermarket,population,0,#440154,8+
5,0,,All,supermarket,population,0,black,isolated
0,22752,0.0,Kapiti Coast,supermarket,population,0,#79D151,0-2
1,12882,2.0,Kapiti Coast,supermarket,population,0,#22A784,2-4
2,1782,4.0,Kapiti Coast,supermarket,population,0,#29788E,4-6
3,588,6.0,Kapiti Coast,supermarket,population,0,#404387,6-8
4,1935,8.0,Kapiti Coast,supermarket,population,0,#440154,8+
5,0,,Kapiti Coast,supermarket,population,0,black,isolated
0,3387,0.0,Levin,supermarket,population,0,#79D151,0-2
1,2148,2.0,Levin,supermarket,population,0,#22A784,2-4
2,0,4.0,Levin,supermarket,population,0,#29788E,4-6
3,0,6.0,Levin,supermarket,population,0,#404387,6-8
4,0,8.0,Levin,supermarket,population,0,#440154,8+
5,0,,Levin,supermarket,population,0,black,isolated
0,13383,0.0,Miramar,supermarket,population,0,#79D151,0-2
1,960,2.0,Miramar,supermarket,population,0,#22A784,2-4
2,0,4.0,Miramar,supermarket,population,0,#29788E,4-6
3,0,6.0,Miramar,supermarket,population,0,#404387,6-8
4,0,8.0,Miramar,supermarket,population,0,#440154,8+
5,0,,Miramar,supermarket,population,0,black,isolated
0,19944,0.0,Upper Hutt,supermarket,population,0,#79D151,0-2
1,16338,2.0,Upper Hutt,supermarket,population,0,#22A784,2-4
2,2778,4.0,Upper Hutt,supermarket,population,0,#29788E,4-6
3,2565,6.0,Upper Hutt,supermarket,population,0,#404387,6-8
4,162,8.0,Upper Hutt,supermarket,population,0,#440154,8+
5,0,,Upper Hutt,supermarket,population,0,black,isolated
0,0,0.0,Wainuiomata,supermarket,population,0,#79D151,0-2
1,0,2.0,Wainuiomata,supermarket,population,0,#22A784,2-4
2,285,4.0,Wainuiomata,supermarket,population,0,#29788E,4-6
3,6189,6.0,Wainuiomata,supermarket,population,0,#404387,6-8
4,11211,8.0,Wainuiomata,supermarket,population,0,#440154,8+
5,0,,Wainuiomata,supermarket,population,0,black,isolated
0,23799,0.0,Wellington RORO & CBD,supermarket,population,0,#79D151,0-2
1,0,2.0,Wellington RORO & CBD,supermarket,population,0,#22A784,2-4
2,0,4.0,Wellington RORO & CBD,supermarket,population,0,#29788E,4-6
3,0,6.0,Wellington RORO & CBD,supermarket,population,0,#404387,6-8
4,0,8.0,Wellington RORO & CBD,supermarket,population,0,#440154,8+
5,0,,Wellington RORO & CBD,supermarket,population,0,black,isolated
0,1935,0.0,Porirua North,supermarket,population,0,#79D151,0-2
1,1056,2.0,Porirua North,supermarket,population,0,#22A784,2-4
2,0,4.0,Porirua North,supermarket,population,0,#29788E,4-6
3,1422,6.0,Porirua North,supermarket,population,0,#404387,6-8
4,0,8.0,Porirua North,supermarket,population,0,#440154,8+
5,0,,Porirua North,supermarket,population,0,black,isolated
0,5262,0.0,Titahi Bay,supermarket,population,0,#79D151,0-2
1,162,2.0,Titahi Bay,supermarket,population,0,#22A784,2-4
2,0,4.0,Titahi Bay,supermarket,population,0,#29788E,4-6
3,0,6.0,Titahi Bay,supermarket,population,0,#404387,6-8
4,0,8.0,Titahi Bay,supermarket,population,0,#440154,8+
5,0,,Titahi Bay,supermarket,population,0,black,isolated
0,13173,0.0,Porirua East,supermarket,population,0,#79D151,0-2
1,16683,2.0,Porirua East,supermarket,population,0,#22A784,2-4
2,2292,4.0,Porirua East,supermarket,population,0,#29788E,4-6
3,2238,6.0,Porirua East,supermarket,population,0,#404387,6-8
4,492,8.0,Porirua East,supermarket,population,0,#440154,8+
5,0,,Porirua East,supermarket,population,0,black,isolated
0,2226,0.0,Porirua CBD,supermarket,population,0,#79D151,0-2
1,111,2.0,Porirua CBD,supermarket,population,0,#22A784,2-4
2,0,4.0,Porirua CBD,supermarket,population,0,#29788E,4-6
3,0,6.0,Porirua CBD,supermarket,population,0,#404387,6-8
4,0,8.0,Porirua CBD,supermarket,population,0,#440154,8+
5,0,,Porirua CBD,supermarket,population,0,black,isolated
0,5238,0.0,Petone,supermarket,population,0,#79D151,0-2
1,609,2.0,Petone,supermarket,population,0,#22A784,2-4
2,0,4.0,Petone,supermarket,population,0,#29788E,4-6
3,0,6.0,Petone,supermarket,population,0,#404387,6-8
4,0,8.0,Petone,supermarket,population,0,#440154,8+
5,0,,Petone,supermarket,population,0,black,isolated
0,37314,0.0,Lower Hutt,supermarket,population,0,#79D151,0-2
1,7293,2.0,Lower Hutt,supermarket,population,0,#22A784,2-4
2,0,4.0,Lower Hutt,supermarket,population,0,#29788E,4-6
3,0,6.0,Lower Hutt,supermarket,population,0,#404387,6-8
4,0,8.0,Lower Hutt,supermarket,population,0,#440154,8+
5,0,,Lower Hutt,supermarket,population,0,black,isolated
0,873,0.0,Western Hutt Hills,supermarket,population,0,#79D151,0-2
1,3222,2.0,Western Hutt Hills,supermarket,population,0,#22A784,2-4
2,2328,4.0,Western Hutt Hills,supermarket,population,0,#29788E,4-6
3,0,6.0,Western Hutt Hills,supermarket,population,0,#404387,6-8
4,0,8.0,Western Hutt Hills,supermarket,population,0,#440154,8+
5,0,,Western Hutt Hills,supermarket,population,0,black,isolated
0,14760,0.0,Karori,supermarket,population,0,#79D151,0-2
1,2946,2.0,Karori,supermarket,population,0,#22A784,2-4
2,0,4.0,Karori,supermarket,population,0,#29788E,4-6
3,0,6.0,Karori,supermarket,population,0,#404387,6-8
4,0,8.0,Karori,supermarket,population,0,#440154,8+
5,0,,Karori,supermarket,population,0,black,isolated
0,27891,0.0,Johnsonville,supermarket,population,0,#79D151,0-2
1,2799,2.0,Johnsonville,supermarket,population,0,#22A784,2-4
2,0,4.0,Johnsonville,supermarket,population,0,#29788E,4-6
3,0,6.0,Johnsonville,supermarket,population,0,#404387,6-8
4,0,8.0,Johnsonville,supermarket,population,0,#440154,8+
5,0,,Johnsonville,supermarket,population,0,black,isolated
0,36507,0.0,Newtown,supermarket,population,0,#79D151,0-2
1,2106,2.0,Newtown,supermarket,population,0,#22A784,2-4
2,0,4.0,Newtown,supermarket,population,0,#29788E,4-6
3,0,6.0,Newtown,supermarket,population,0,#404387,6-8
4,0,8.0,Newtown,supermarket,population,0,#440154,8+
5,0,,Newtown,supermarket,population,0,black,isolated
0,7632,0.0,Stokes Valley,supermarket,population,0,#79D151,0-2
1,984,2.0,Stokes Valley,supermarket,population,0,#22A784,2-4
2,0,4.0,Stokes Valley,supermarket,population,0,#29788E,4-6
3,0,6.0,Stokes Valley,supermarket,population,0,#404387,6-8
4,0,8.0,Stokes Valley,supermarket,population,0,#440154,8+
5,0,,Stokes Valley,supermarket,population,0,black,isolated
0,1005,0.0,Eastbourne,supermarket,population,0,#79D151,0-2
1,105,2.0,Eastbourne,supermarket,population,0,#22A784,2-4
2,198,4.0,Eastbourne,supermarket,population,0,#29788E,4-6
3,0,6.0,Eastbourne,supermarket,population,0,#404387,6-8
4,0,8.0,Eastbourne,supermarket,population,0,#440154,8+
5,0,,Eastbourne,supermarket,population,0,black,isolated
0,9081,0.0,Tawa,supermarket,population,0,#79D151,0-2
1,2235,2.0,Tawa,supermarket,population,0,#22A784,2-4
2,90,4.0,Tawa,supermarket,population,0,#29788E,4-6
3,0,6.0,Tawa,supermarket,population,0,#404387,6-8
4,0,8.0,Tawa,supermarket,population,0,#440154,8+
5,0,,Tawa,supermarket,population,0,black,isolated
0,14553,0.0,Wellington Western Suburbs,supermarket,population,0,#79D151,0-2
1,4206,2.0,Wellington Western Suburbs,supermarket,population,0,#22A784,2-4
2,0,4.0,Wellington Western Suburbs,supermarket,population,0,#29788E,4-6
3,0,6.0,Wellington Western Suburbs,supermarket,population,0,#404387,6-8
4,0,8.0,Wellington Western Suburbs,supermarket,population,0,#440154,8+
5,0,,Wellington Western Suburbs,supermarket,population,0,black,isolated
0,2862,0.0,Wellington Southern Suburbs,supermarket,population,0,#79D151,0-2
1,6384,2.0,Wellington Southern Suburbs,supermarket,population,0,#22A784,2-4
2,345,4.0,Wellington Southern Suburbs,supermarket,population,0,#29788E,4-6
3,0,6.0,Wellington Southern Suburbs,supermarket,population,0,#404387,6-8
4,0,8.0,Wellington Southern Suburbs,supermarket,population,0,#440154,8+
5,0,,Wellington Southern Suburbs,supermarket,population,0,black,isolated
0,138,0.0,Wellington Airport,supermarket,population,0,#79D151,0-2
1,0,2.0,Wellington Airport,supermarket,population,0,#22A784,2-4
2,0,4.0,Wellington Airport,supermarket,population,0,#29788E,4-6
3,0,6.0,Wellington Airport,supermarket,population,0,#404387,6-8
4,0,8.0,Wellington Airport,supermarket,population,0,#440154,8+
5,0,,Wellington Airport,supermarket,population,0,black,isolated
0,252438,0.0,All,fuel_station,population,0,#79D151,0-2
1,113955,2.0,All,fuel_station,population,0,#22A784,2-4
2,12585,4.0,All,fuel_station,population,0,#29788E,4-6
3,2769,6.0,All,fuel_station,population,0,#404387,6-8
4,2097,8.0,All,fuel_station,population,0,#440154,8+
5,0,,All,fuel_station,population,0,black,isolated
0,19146,0.0,Kapiti Coast,fuel_station,population,0,#79D151,0-2
1,13743,2.0,Kapiti Coast,fuel_station,population,0,#22A784,2-4
2,4446,4.0,Kapiti Coast,fuel_station,population,0,#29788E,4-6
3,669,6.0,Kapiti Coast,fuel_station,population,0,#404387,6-8
4,1935,8.0,Kapiti Coast,fuel_station,population,0,#440154,8+
5,0,,Kapiti Coast,fuel_station,population,0,black,isolated
0,3039,0.0,Levin,fuel_station,population,0,#79D151,0-2
1,1884,2.0,Levin,fuel_station,population,0,#22A784,2-4
2,612,4.0,Levin,fuel_station,population,0,#29788E,4-6
3,0,6.0,Levin,fuel_station,population,0,#404387,6-8
4,0,8.0,Levin,fuel_station,population,0,#440154,8+
5,0,,Levin,fuel_station,population,0,black,isolated
0,10341,0.0,Miramar,fuel_station,population,0,#79D151,0-2
1,4002,2.0,Miramar,fuel_station,population,0,#22A784,2-4
2,0,4.0,Miramar,fuel_station,population,0,#29788E,4-6
3,0,6.0,Miramar,fuel_station,population,0,#404387,6-8
4,0,8.0,Miramar,fuel_station,population,0,#440154,8+
5,0,,Miramar,fuel_station,population,0,black,isolated
0,28812,0.0,Upper Hutt,fuel_station,population,0,#79D151,0-2
1,9111,2.0,Upper Hutt,fuel_station,population,0,#22A784,2-4
2,3024,4.0,Upper Hutt,fuel_station,population,0,#29788E,4-6
3,678,6.0,Upper Hutt,fuel_station,population,0,#404387,6-8
4,162,8.0,Upper Hutt,fuel_station,population,0,#440154,8+
5,0,,Upper Hutt,fuel_station,population,0,black,isolated
0,9108,0.0,Wainuiomata,fuel_station,population,0,#79D151,0-2
1,8136,2.0,Wainuiomata,fuel_station,population,0,#22A784,2-4
2,441,4.0,Wainuiomata,fuel_station,population,0,#29788E,4-6
3,0,6.0,Wainuiomata,fuel_station,population,0,#404387,6-8
4,0,8.0,Wainuiomata,fuel_station,population,0,#440154,8+
5,0,,Wainuiomata,fuel_station,population,0,black,isolated
0,22296,0.0,Wellington RORO & CBD,fuel_station,population,0,#79D151,0-2
1,1503,2.0,Wellington RORO & CBD,fuel_station,population,0,#22A784,2-4
2,0,4.0,Wellington RORO & CBD,fuel_station,population,0,#29788E,4-6
3,0,6.0,Wellington RORO & CBD,fuel_station,population,0,#404387,6-8
4,0,8.0,Wellington RORO & CBD,fuel_station,population,0,#440154,8+
5,0,,Wellington RORO & CBD,fuel_station,population,0,black,isolated
0,2268,0.0,Porirua North,fuel_station,population,0,#79D151,0-2
1,723,2.0,Porirua North,fuel_station,population,0,#22A784,2-4
2,0,4.0,Porirua North,fuel_station,population,0,#29788E,4-6
3,1422,6.0,Porirua North,fuel_station,population,0,#404387,6-8
4,0,8.0,Porirua North,fuel_station,population,0,#440154,8+
5,0,,Porirua North,fuel_station,population,0,black,isolated
0,0,0.0,Titahi Bay,fuel_station,population,0,#79D151,0-2
1,4533,2.0,Titahi Bay,fuel_station,population,0,#22A784,2-4
2,891,4.0,Titahi Bay,fuel_station,population,0,#29788E,4-6
3,0,6.0,Titahi Bay,fuel_station,population,0,#404387,6-8
4,0,8.0,Titahi Bay,fuel_station,population,0,#440154,8+
5,0,,Titahi Bay,fuel_station,population,0,black,isolated
0,17217,0.0,Porirua East,fuel_station,population,0,#79D151,0-2
1,15393,2.0,Porirua East,fuel_station,population,0,#22A784,2-4
2,2268,4.0,Porirua East,fuel_station,population,0,#29788E,4-6
3,0,6.0,Porirua East,fuel_station,population,0,#404387,6-8
4,0,8.0,Porirua East,fuel_station,population,0,#440154,8+
5,0,,Porirua East,fuel_station,population,0,black,isolated
0,2337,0.0,Porirua CBD,fuel_station,population,0,#79D151,0-2
1,0,2.0,Porirua CBD,fuel_station,population,0,#22A784,2-4
2,0,4.0,Porirua CBD,fuel_station,population,0,#29788E,4-6
3,0,6.0,Porirua CBD,fuel_station,population,0,#404387,6-8
4,0,8.0,Porirua CBD,fuel_station,population,0,#440154,8+
5,0,,Porirua CBD,fuel_station,population,0,black,isolated
0,5772,0.0,Petone,fuel_station,population,0,#79D151,0-2
1,75,2.0,Petone,fuel_station,population,0,#22A784,2-4
2,0,4.0,Petone,fuel_station,population,0,#29788E,4-6
3,0,6.0,Petone,fuel_station,population,0,#404387,6-8
4,0,8.0,Petone,fuel_station,population,0,#440154,8+
5,0,,Petone,fuel_station,population,0,black,isolated
0,41259,0.0,Lower Hutt,fuel_station,population,0,#79D151,0-2
1,3348,2.0,Lower Hutt,fuel_station,population,0,#22A784,2-4
2,0,4.0,Lower Hutt,fuel_station,population,0,#29788E,4-6
3,0,6.0,Lower Hutt,fuel_station,population,0,#404387,6-8
4,0,8.0,Lower Hutt,fuel_station,population,0,#440154,8+
5,0,,Lower Hutt,fuel_station,population,0,black,isolated
0,498,0.0,Western Hutt Hills,fuel_station,population,0,#79D151,0-2
1,5661,2.0,Western Hutt Hills,fuel_station,population,0,#22A784,2-4
2,264,4.0,Western Hutt Hills,fuel_station,population,0,#29788E,4-6
3,0,6.0,Western Hutt Hills,fuel_station,population,0,#404387,6-8
4,0,8.0,Western Hutt Hills,fuel_station,population,0,#440154,8+
5,0,,Western Hutt Hills,fuel_station,population,0,black,isolated
0,12684,0.0,Karori,fuel_station,population,0,#79D151,0-2
1,5022,2.0,Karori,fuel_station,population,0,#22A784,2-4
2,0,4.0,Karori,fuel_station,population,0,#29788E,4-6
3,0,6.0,Karori,fuel_station,population,0,#404387,6-8
4,0,8.0,Karori,fuel_station,population,0,#440154,8+
5,0,,Karori,fuel_station,population,0,black,isolated
0,22398,0.0,Johnsonville,fuel_station,population,0,#79D151,0-2
1,7941,2.0,Johnsonville,fuel_station,population,0,#22A784,2-4
2,351,4.0,Johnsonville,fuel_station,population,0,#29788E,4-6
3,0,6.0,Johnsonville,fuel_station,population,0,#404387,6-8
4,0,8.0,Johnsonville,fuel_station,population,0,#440154,8+
5,0,,Johnsonville,fuel_station,population,0,black,isolated
0,29634,0.0,Newtown,fuel_station,population,0,#79D151,0-2
1,8979,2.0,Newtown,fuel_station,population,0,#22A784,2-4
2,0,4.0,Newtown,fuel_station,population,0,#29788E,4-6
3,0,6.0,Newtown,fuel_station,population,0,#404387,6-8
4,0,8.0,Newtown,fuel_station,population,0,#440154,8+
5,0,,Newtown,fuel_station,population,0,black,isolated
0,3219,0.0,Stokes Valley,fuel_station,population,0,#79D151,0-2
1,5397,2.0,Stokes Valley,fuel_station,population,0,#22A784,2-4
2,0,4.0,Stokes Valley,fuel_station,population,0,#29788E,4-6
3,0,6.0,Stokes Valley,fuel_station,population,0,#404387,6-8
4,0,8.0,Stokes Valley,fuel_station,population,0,#440154,8+
5,0,,Stokes Valley,fuel_station,population,0,black,isolated
0,270,0.0,Eastbourne,fuel_station,population,0,#79D151,0-2
1,1038,2.0,Eastbourne,fuel_station,population,0,#22A784,2-4
2,0,4.0,Eastbourne,fuel_station,population,0,#29788E,4-6
3,0,6.0,Eastbourne,fuel_station,population,0,#404387,6-8
4,0,8.0,Eastbourne,fuel_station,population,0,#440154,8+
5,0,,Eastbourne,fuel_station,population,0,black,isolated
0,8484,0.0,Tawa,fuel_station,population,0,#79D151,0-2
1,2832,2.0,Tawa,fuel_station,population,0,#22A784,2-4
2,90,4.0,Tawa,fuel_station,population,0,#29788E,4-6
3,0,6.0,Tawa,fuel_station,population,0,#404387,6-8
4,0,8.0,Tawa,fuel_station,population,0,#440154,8+
5,0,,Tawa,fuel_station,population,0,black,isolated
0,6177,0.0,Wellington Western Suburbs,fuel_station,population,0,#79D151,0-2
1,12582,2.0,Wellington Western Suburbs,fuel_station,population,0,#22A784,2-4
2,0,4.0,Wellington Western Suburbs,fuel_station,population,0,#29788E,4-6
3,0,6.0,Wellington Western Suburbs,fuel_station,population,0,#404387,6-8
4,0,8.0,Wellington Western Suburbs,fuel_station,population,0,#440154,8+
5,0,,Wellington Western Suburbs,fuel_station,population,0,black,isolated
0,7341,0.0,Wellington Southern Suburbs,fuel_station,population,0,#79D151,0-2
1,2052,2.0,Wellington Southern Suburbs,fuel_station,population,0,#22A784,2-4
2,198,4.0,Wellington Southern Suburbs,fuel_station,population,0,#29788E,4-6
3,0,6.0,Wellington Southern Suburbs,fuel_station,population,0,#404387,6-8
4,0,8.0,Wellington Southern Suburbs,fuel_station,population,0,#440154,8+
5,0,,Wellington Southern Suburbs,fuel_station,population,0,black,isolated
0,138,0.0,Wellington Airport,fuel_station,population,0,#79D151,0-2
1,0,2.0,Wellington Airport,fuel_station,population,0,#22A784,2-4
2,0,4.0,Wellington Airport,fuel_station,population,0,#29788E,4-6
3,0,6.0,Wellington Airport,fuel_station,population,0,#404387,6-8
4,0,8.0,Wellington Airport,fuel_station,population,0,#440154,8+
5,0,,Wellington Airport,fuel_station,population,0,black,isolated
0,193314,0.0,All,health_services,population,0,#79D151,0-2
1,100026,2.0,All,health_services,population,0,#22A784,2-4
2,47442,4.0,All,health_services,population,0,#29788E,4-6
3,14802,6.0,All,health_services,population,0,#404387,6-8
4,28260,8.0,All,health_services,population,0,#440154,8+
5,0,,All,health_services,population,0,black,isolated
0,17820,0.0,Kapiti Coast,health_services,population,0,#79D151,0-2
1,13839,2.0,Kapiti Coast,health_services,population,0,#22A784,2-4
2,5073,4.0,Kapiti Coast,health_services,population,0,#29788E,4-6
